,0
dur,0.0785074319462938
spkts,0.012580211861265587
dpkts,0.01048957224787017
sbytes,0.01195634237909329
dbytes,0.010334037644808333
rate,0.14862036652203664
sttl,0.3980894611897112
dttl,0.4593218676645692
sload,0.034142335600066305
dload,0.11493141983115764
sloss,0.012154468837788727
dloss,0.010115858845683365
sinpkt,0.10302643291694648
dinpkt,0.02238301826064257
sjit,0.03822809198850049
djit,0.007848737484053642
swin,0.49943921469889907
stcpb,0.3238340299949362
dtcpb,0.32178658909891655
dwin,0.4999661570820552
tcprtt,0.0303605479644183
synack,0.021957915095343783
ackdat,0.01881109534795358
smean,0.14085966144424256
dmean,0.16309133580494406
trans_depth,0.004144441366247909
response_body_len,0.007260698755577662
ct_srv_src,0.17888484123963597
ct_state_ttl,0.17786633074685623
ct_dst_ltm,0.14514061892283917
ct_src_dport_ltm,0.1446476743573538
ct_dst_sport_ltm,0.15987577866947128
ct_dst_src_ltm,0.1841165338381143
ct_ftp_cmd,0.04575127217586708
ct_flw_http_mthd,0.03991766091487884
ct_src_ltm,0.14481322455418819
ct_srv_dst,0.18231778684521346
